"country","countryiso3","SH.MED.BEDS.ZS_2013","SH.MED.BEDS.ZS_2014","SH.MED.BEDS.ZS_2015"
"Afghanistan","AFG",0.5,0.5,0.5
"Albania","ALB",2.9,NA,NA
"Algeria","DZA",NA,NA,1.9
"Andorra","AND",NA,NA,NA
"Angola","AGO",NA,NA,NA
"Antigua and Barbuda","ATG",3.9,3.8,NA
"Arab World","ARB",1.15189918671102,1.62452358057313,NA
"Argentina","ARG",4.9,5,NA
"Armenia","ARM",4.1,NA,4.2
"Australia","AUS",NA,3.8,NA
"Austria","AUT",7.6,NA,NA
"Azerbaijan","AZE",4.7,NA,NA
"Bahamas, The","BHS",2.9,NA,NA
"Bahrain","BHR",2.1,2,NA
"Bangladesh","BGD",NA,0.6,0.8
"Barbados","BRB",6.2,5.8,NA
"Belarus","BLR",11,NA,NA
"Belgium","BEL",6.3,6.2,NA
"Belize","BLZ",0.9,1.3,NA
"Benin","BEN",NA,NA,NA
"Bermuda","BMU",NA,NA,NA
"Bhutan","BTN",NA,NA,NA
"Bolivia","BOL",1.1,1.1,NA
"Bosnia and Herzegovina","BIH",3.5,NA,NA
"Botswana","BWA",NA,NA,NA
"Brazil","BRA",2.3,2.2,NA
"Brunei Darussalam","BRN",NA,NA,2.7
"Bulgaria","BGR",6.8,NA,NA
"Burkina Faso","BFA",NA,NA,NA
"Burundi","BDI",NA,0.8,NA
"Cabo Verde","CPV",NA,NA,NA
"Cambodia","KHM",0.7,NA,0.8
"Cameroon","CMR",NA,NA,NA
"Canada","CAN",NA,NA,NA
"Caribbean small states","CSS",2.26723392472779,NA,NA
"Cayman Islands","CYM",NA,NA,NA
"Central African Republic","CAF",NA,NA,NA
"Central Europe and the Baltics","CEB",6.42144666078239,NA,NA
"Chad","TCD",NA,NA,NA
"Channel Islands","CHI",NA,NA,NA
"Chile","CHL",2.2,NA,NA
"China","CHN",NA,NA,NA
"Colombia","COL",1.5,1.5,NA
"Comoros","COM",NA,NA,NA
"Congo, Dem. Rep.","COD",NA,NA,NA
"Congo, Rep.","COG",NA,NA,NA
"Costa Rica","CRI",1.1,1.1,1.2
"Cote d'Ivoire","CIV",NA,NA,NA
"Croatia","HRV",5.9,5.89,5.6
"Cuba","CUB",5.1,5.2,NA
"Cyprus","CYP",3.4,NA,NA
"Czech Republic","CZE",6.5,NA,6.5
"Denmark","DNK",3.1,NA,2.5
"Djibouti","DJI",1.4,1.4,NA
"Dominica","DMA",NA,NA,NA
"Dominican Republic","DOM",1.6,1.6,NA
"Early-demographic dividend","EAR",NA,NA,NA
"East Asia & Pacific","EAS",NA,NA,NA
"East Asia & Pacific (excluding high income)","EAP",NA,NA,NA
"East Asia & Pacific (IDA & IBRD countries)","TEA",NA,NA,NA
"Ecuador","ECU",1.5,NA,NA
"Egypt, Arab Rep.","EGY",0.5,1.6,NA
"El Salvador","SLV",1.1,1.3,NA
"Equatorial Guinea","GNQ",NA,NA,NA
"Eritrea","ERI",NA,NA,NA
"Estonia","EST",5,NA,5
"Eswatini","SWZ",NA,NA,NA
"Ethiopia","ETH",NA,NA,0.3
"Euro area","EMU",6.16749081248063,NA,NA
"Europe & Central Asia","ECS",5.9250309927928,NA,NA
"Europe & Central Asia (excluding high income)","ECA",6.35754377903486,NA,NA
"Europe & Central Asia (IDA & IBRD countries)","TEC",6.36284790763261,NA,NA
"European Union","EUU",6.10828282710878,NA,NA
"Fiji","FJI",NA,NA,NA
"Finland","FIN",4.9,NA,4.4
"Fragile and conflict affected situations","FCS",NA,NA,NA
"France","FRA",6.5,NA,NA
"Gabon","GAB",NA,NA,NA
"Gambia, The","GMB",NA,NA,NA
"Georgia","GEO",2.6,NA,NA
"Germany","DEU",8.3,NA,NA
"Ghana","GHA",NA,NA,NA
"Greece","GRC",NA,NA,4.3
"Greenland","GRL",NA,NA,NA
"Grenada","GRD",3.7,3.7,NA
"Guatemala","GTM",NA,0.6,NA
"Guinea","GIN",NA,NA,NA
"Guinea-Bissau","GNB",NA,NA,NA
"Guyana","GUY",NA,1.6,NA
"Haiti","HTI",0.7,NA,NA
"Heavily indebted poor countries (HIPC)","HPC",NA,NA,NA
"High income","HIC",4.16303937024607,NA,NA
"Honduras","HND",0.7,0.7,NA
"Hong Kong SAR, China","HKG",NA,NA,NA
"Hungary","HUN",7,NA,NA
"IBRD only","IBD",NA,NA,NA
"Iceland","ISL",3.2,3.2,NA
"IDA & IBRD total","IBT",NA,NA,NA
"IDA blend","IDB",NA,NA,NA
"IDA only","IDX",NA,NA,NA
"IDA total","IDA",NA,NA,NA
"India","IND",NA,NA,NA
"Indonesia","IDN",NA,NA,1.2
