"country","countryiso3","SE.XPD.PRIM.PC.ZS_2013","SE.XPD.PRIM.PC.ZS_2014","SE.XPD.PRIM.PC.ZS_2015","SE.XPD.PRIM.PC.ZS_2016","SE.XPD.PRIM.PC.ZS_2017","SE.XPD.PRIM.PC.ZS_2018"
"Afghanistan","AFG",11.17447,11.72219,10.24688,10.34081,10.25174,NA
"Albania","ALB",NA,NA,29.84568,NA,34.18148,NA
"Algeria","DZA",NA,NA,NA,NA,NA,NA
"Andorra","AND",15.56091,13.02109,13.45657,12.74297,12.72411,12.30702
"Antigua and Barbuda","ATG",NA,NA,NA,NA,NA,NA
"Argentina","ARG",14.38084,14.38654,15.64309,15.2222,14.97726,NA
"Armenia","ARM",10.98089,NA,10.994,11.27122,10.15365,NA
"Aruba","ABW",17.36433,17.08119,NA,NA,NA,NA
"Australia","AUS",18.65626,18.24146,18.78482,19.30184,NA,NA
"Austria","AUT",22.85994,22.59552,23.20446,23.48041,NA,NA
"Bahrain","BHR",10.47755,10.32071,11.16362,NA,NA,NA
"Bangladesh","BGD",NA,NA,NA,NA,NA,NA
"Barbados","BRB",NA,NA,NA,20.75168,NA,NA
"Belgium","BEL",22.5828,22.22876,22.03343,21.87767,NA,NA
"Belize","BLZ",16.10865,16.34612,15.10773,16.23127,16.55987,NA
"Benin","BEN",11.04903,10.19757,10.25321,NA,NA,NA
"Bermuda","BMU",NA,8.46154,8.05056,NA,NA,NA
"Bhutan","BTN",7.73873,12.84915,NA,NA,NA,NA
"Botswana","BWA",NA,NA,NA,NA,NA,NA
"Brazil","BRA",19.66313,19.45078,20.05496,NA,NA,NA
"British Virgin Islands","VGB",NA,NA,7.38379,NA,6.24826,NA
"Brunei Darussalam","BRN",NA,NA,NA,8.87354,NA,NA
"Bulgaria","BGR",22.99728,NA,NA,NA,NA,NA
"Burkina Faso","BFA",19.01221,20.22056,16.13029,NA,NA,NA
"Burundi","BDI",12.92904,NA,NA,NA,NA,NA
"Cabo Verde","CPV",14.50744,16.47302,16.62463,17.06822,16.65962,NA
"Cambodia","KHM",6.88314,6.63865,NA,NA,NA,NA
"Cameroon","CMR",NA,NA,NA,NA,NA,NA
"Canada","CAN",NA,NA,17.56737,NA,NA,NA
"Caribbean small states","CSS",23.1628,23.52822,22.17824,21.77293,23.44592,21.68464
"Cayman Islands","CYM",NA,NA,NA,NA,NA,NA
"Central African Republic","CAF",NA,NA,NA,NA,NA,NA
"Central Europe and the Baltics","CEB",22.501625,19.88464,19.99539,20.29085,NA,NA
"Chad","TCD",NA,NA,NA,NA,NA,NA
"Chile","CHL",15.78767,14.18282,15.18748,18.29521,18.38536,NA
"China","CHN",NA,NA,NA,NA,NA,NA
"Colombia","COL",16.59328,17.04063,17.41694,17.44523,17.84725,16.98989
"Comoros","COM",8.10595,9.75717,NA,NA,NA,NA
"Congo, Dem. Rep.","COD",7.19307,NA,NA,NA,NA,NA
"Congo, Rep.","COG",NA,NA,NA,NA,NA,NA
"Costa Rica","CRI",24.75781,25.14192,26.71543,24.86943,22.2852,20.82721
"Cote d'Ivoire","CIV",13.57966,12.75758,13.78098,15.7917,13.17057,13.27872
"Cuba","CUB",NA,NA,NA,NA,NA,NA
"Curacao","CUW",10.00974,NA,NA,NA,NA,NA
"Cyprus","CYP",31.53895,32.09534,32.18788,31.88086,NA,NA
"Czech Republic","CZE",15.33593,15.10781,14.94718,13.8679,NA,NA
"Denmark","DNK",25.37714,25.05246,NA,NA,NA,NA
"Djibouti","DJI",NA,NA,NA,37.32327,NA,NA
"Dominica","DMA",NA,NA,14.64306,NA,NA,NA
"Dominican Republic","DOM",14.41983,14.76884,14.92318,15.80752,14.61223,16.18636
"East Asia & Pacific","EAS",15.354445,14.512445,NA,NA,NA,NA
"East Asia & Pacific (excluding high income)","EAP",12.512775,NA,NA,NA,NA,NA
"East Asia & Pacific (IDA & IBRD countries)","TEA",12.512775,10.691165,NA,NA,NA,NA
"Ecuador","ECU",11.7664,10.30478,9.43166,9.51098,NA,NA
"Egypt, Arab Rep.","EGY",NA,NA,NA,NA,9.84518,NA
"El Salvador","SLV",12.46292,13.16348,13.55766,16.15496,16.03698,16.10453
"Eritrea","ERI",NA,NA,NA,NA,NA,NA
"Estonia","EST",25.87764,22.38644,19.99539,20.29085,NA,NA
"Eswatini","SWZ",NA,16.46033,NA,NA,NA,NA
"Ethiopia","ETH",NA,8.50257,7.87686,NA,NA,NA
"Euro area","EMU",21.38818,21.20796,21.6772,20.279965,NA,NA
"Europe & Central Asia","ECS",22.115675,21.88263,21.589135,20.553325,NA,NA
"European Union","EUU",22.115675,21.20796,20.768525,20.26908,NA,NA
"Fiji","FJI",12.35277,NA,NA,NA,NA,NA
"Finland","FIN",20.71923,21.13702,21.99535,21.50883,NA,NA
"France","FRA",17.71386,17.68894,17.53958,17.3647,NA,NA
"Gabon","GAB",NA,NA,NA,NA,NA,NA
"Gambia, The","GMB",7.27309,8.85134,8.47324,NA,NA,NA
"Georgia","GEO",NA,NA,NA,NA,NA,NA
"Germany","DEU",17.55396,17.6705,17.50845,17.44257,NA,NA
"Ghana","GHA",7.27847,6.44452,NA,NA,NA,NA
"Greece","GRC",NA,NA,20.20131,20.26908,NA,NA
"Grenada","GRD",NA,NA,NA,NA,8.17698,NA
"Guatemala","GTM",9.3497,9.51939,10.06501,11.08353,11.36856,11.88315
"Guinea","GIN",6.91242,6.07708,NA,6.81269,NA,NA
"Guinea-Bissau","GNB",NA,NA,NA,NA,NA,NA
"Guyana","GUY",NA,NA,NA,NA,NA,NA
"Heavily indebted poor countries (HIPC)","HPC",10.67458,NA,NA,NA,NA,NA
"High income","HIC",20.3784,19.88464,19.878015,20.29085,NA,NA
"Honduras","HND",21.43893,NA,NA,NA,NA,NA
"Hong Kong SAR, China","HKG",14.71088,14.9165,14.85107,15.024,14.94539,14.82783
"Hungary","HUN",22.00597,14.54597,18.67208,19.06479,NA,NA
"IBRD only","IBD",NA,NA,NA,NA,NA,NA
"Iceland","ISL",23.30171,24.10316,22.79978,22.10298,NA,NA
"IDA & IBRD total","IBT",NA,NA,NA,NA,NA,NA
"IDA only","IDX",10.30013,NA,NA,NA,NA,NA
"IDA total","IDA",NA,NA,NA,NA,NA,NA
"India","IND",9.79172,NA,NA,NA,NA,NA
"Indonesia","IDN",11.92782,12.27912,13.28127,NA,NA,NA
"Iran, Islamic Rep.","IRN",7.73182,7.74192,7.55314,9.52057,11.11757,NA
"Ireland","IRL",16.66697,15.34303,11.83086,11.84396,NA,NA
"Israel","ISR",20.8717,20.69993,21.34266,21.53058,NA,NA
"Italy","ITA",21.38818,21.20796,21.73441,19.52238,NA,NA
"Jamaica","JAM",23.1628,23.52822,22.17824,21.77293,23.44592,21.68464
"Japan","JPN",22.97133,22.54562,NA,21.78104,NA,NA
"Jordan","JOR",NA,NA,NA,14.87272,13.53875,13.30793
"Kazakhstan","KAZ",NA,NA,NA,NA,0.26455,0.23507
"Kenya","KEN",NA,10.63254,10.95105,NA,NA,NA
"Kiribati","KIR",NA,NA,NA,NA,NA,NA
"Korea, Rep.","KOR",NA,NA,NA,27.84732,NA,NA
"Kuwait","KWT",NA,14.37769,NA,NA,NA,NA
"Lao PDR","LAO",9.9565,9.10321,NA,NA,NA,NA
"Late-demographic dividend","LTE",19.49905,NA,20.025175,NA,NA,NA
"Latin America & Caribbean","LCN",15.10375,14.38654,15.18748,15.2222,NA,NA
"Latin America & Caribbean (excluding high income)","LAC",14.400335,14.38654,15.283135,15.2222,NA,NA
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",14.41983,14.320055,15.18748,15.2222,NA,NA
"Latvia","LVA",36.91353,27.32363,26.76693,24.50426,NA,NA
"Least developed countries: UN classification","LDC",9.9565,NA,NA,NA,NA,NA
"Lesotho","LSO",NA,NA,NA,NA,NA,20.7122
"Liberia","LBR",NA,NA,3.94327,14.49935,NA,NA
"Liechtenstein","LIE",NA,NA,NA,NA,NA,NA
"Lithuania","LTU",19.15043,18.47169,18.59952,19.49595,NA,NA
"Low & middle income","LMY",NA,NA,NA,NA,NA,NA
"Low income","LIC",NA,NA,NA,NA,NA,NA
"Luxembourg","LUX",19.57115,19.45288,19.6895,NA,NA,NA
"Macao SAR, China","MAC",NA,NA,NA,NA,NA,NA
"Madagascar","MDG",NA,NA,NA,NA,NA,NA
"Malawi","MWI",7.75208,9.25883,9.55053,8.15872,NA,NA
"Malaysia","MYS",15.99801,15.79552,16.07894,16.12796,16.13708,NA
"Maldives","MDV",16.20514,15.17783,18.69794,16.07814,NA,NA
"Mali","MLI",10.30013,12.23003,13.43451,9.34227,12.3362,NA
"Malta","MLT",28.51388,27.11666,22.83451,NA,NA,NA
"Marshall Islands","MHL",NA,NA,NA,NA,NA,NA
"Mauritania","MRT",8.51612,NA,9.59914,10.18348,NA,NA
"Mauritius","MUS",11.45965,13.33654,12.51795,14.08182,15.73389,15.56837
"Mexico","MEX",14.2666,14.25357,14.4207,13.78185,NA,NA
"Middle East & North Africa","MEA",NA,NA,NA,NA,NA,NA
"Middle East & North Africa (excluding high income)","MNA",NA,NA,NA,NA,NA,NA
"Middle East & North Africa (IDA & IBRD countries)","TMN",NA,NA,NA,NA,NA,NA
"Moldova","MDA",NA,36.5398,34.82502,32.54519,32.53601,32.53494
"Monaco","MCO",3.6851,3.48192,NA,3.31307,NA,NA
"Mongolia","MNG",13.09773,14.10839,13.1827,16.58952,14.10634,NA
"Morocco","MAR",19.49905,NA,NA,NA,NA,NA
"Mozambique","MOZ",14.6503,NA,NA,NA,NA,NA
"Myanmar","MMR",NA,NA,NA,NA,7.66681,7.81464
"Namibia","NAM",NA,NA,NA,NA,NA,NA
"Nepal","NPL",11.22594,13.05722,12.35956,NA,NA,NA
"Netherlands","NLD",NA,NA,16.84558,16.66924,NA,NA
"New Zealand","NZL",19.41374,18.17504,18.34146,20.32099,NA,NA
"Nicaragua","NIC",NA,NA,NA,NA,NA,NA
"Niger","NER",22.37595,29.66632,22.53418,16.47221,13.30223,NA
"North America","NAC",19.71867,19.7888,18.664005,19.85908,NA,NA
"Norway","NOR",19.93863,19.93082,21.50107,21.70425,NA,NA
"OECD members","OED",20.71923,19.93082,19.878015,20.279965,NA,NA
"Oman","OMN",NA,NA,NA,31.77481,NA,NA
"Other small states","OSS",NA,13.33654,NA,NA,NA,NA
"Pakistan","PAK",8.40863,8.52796,8.09756,NA,NA,NA
"Panama","PAN",NA,NA,NA,NA,NA,NA
"Paraguay","PRY",NA,NA,NA,11.67423,NA,NA
"Peru","PER",10.99138,12.22761,12.56451,11.48576,11.69517,11.22288
"Philippines","PHL",NA,NA,NA,NA,NA,NA
"Poland","POL",26.41847,25.9964,23.84992,23.08263,NA,NA
"Portugal","PRT",23.85649,23.83291,22.50957,NA,NA,NA
