"country","countryiso3","latest.year_SP.DYN.LE00.IN","latest.value_SP.DYN.LE00.IN"
"Afghanistan","AFG",2018,64.486
"Albania","ALB",2018,78.458
"Algeria","DZA",2018,76.693
"Angola","AGO",2018,60.782
"Antigua and Barbuda","ATG",2018,76.885
"Arab World","ARB",2018,71.8068251623605
"Argentina","ARG",2018,76.52
"Armenia","ARM",2018,74.945
"Aruba","ABW",2018,76.152
"Australia","AUS",2018,82.7487804878049
"Austria","AUT",2018,81.6926829268293
"Azerbaijan","AZE",2018,72.864
"Bahamas, The","BHS",2018,73.752
"Bahrain","BHR",2018,77.163
"Bangladesh","BGD",2018,72.32
"Barbados","BRB",2018,79.081
"Belarus","BLR",2018,74.1756097560976
"Belgium","BEL",2018,81.5951219512195
"Belize","BLZ",2018,74.496
"Benin","BEN",2018,61.47
"Bermuda","BMU",2018,81.6517073170732
"Bhutan","BTN",2018,71.46
"Bolivia","BOL",2018,71.239
"Bosnia and Herzegovina","BIH",2018,77.262
"Botswana","BWA",2018,69.275
"Brazil","BRA",2018,75.672
"Brunei Darussalam","BRN",2018,75.722
"Bulgaria","BGR",2018,74.9634146341464
"Burkina Faso","BFA",2018,61.174
"Burundi","BDI",2018,61.247
"Cabo Verde","CPV",2018,72.782
"Cambodia","KHM",2018,69.57
"Cameroon","CMR",2018,58.921
"Canada","CAN",2018,81.9487804878049
"Caribbean small states","CSS",2018,73.6371077650151
"Cayman Islands","CYM",NA,NA
"Central African Republic","CAF",2018,52.805
"Central Europe and the Baltics","CEB",2018,76.97684517184
"Chad","TCD",2018,53.977
"Channel Islands","CHI",2018,82.928
"Chile","CHL",2018,80.042
"China","CHN",2018,76.704
"Colombia","COL",2018,77.109
"Comoros","COM",2018,64.118
"Congo, Dem. Rep.","COD",2018,60.368
"Congo, Rep.","COG",2018,64.29
"Costa Rica","CRI",2018,80.095
"Cote d'Ivoire","CIV",2018,57.422
"Croatia","HRV",2018,78.0707317073171
"Cuba","CUB",2018,78.726
"Curacao","CUW",2017,78.0170731707317
"Cyprus","CYP",2018,80.828
"Czech Republic","CZE",2018,79.0292682926829
"Denmark","DNK",2018,80.9536585365854
"Djibouti","DJI",2018,66.582
"Dominica","DMA",NA,NA
"Dominican Republic","DOM",2018,73.892
"Early-demographic dividend","EAR",2018,70.4831906825217
"East Asia & Pacific","EAS",2018,76.0683364250093
"East Asia & Pacific (excluding high income)","EAP",2018,75.2105121056207
"East Asia & Pacific (IDA & IBRD countries)","TEA",2018,75.2492291135899
"Ecuador","ECU",2018,76.8
"Egypt, Arab Rep.","EGY",2018,71.825
"El Salvador","SLV",2018,73.096
"Equatorial Guinea","GNQ",2018,58.402
"Eritrea","ERI",2018,65.941
"Estonia","EST",2018,78.2439024390244
"Eswatini","SWZ",2018,59.401
"Ethiopia","ETH",2018,66.24
"Euro area","EMU",2018,82.0596172798915
"Europe & Central Asia","ECS",2018,77.9086066864279
"Europe & Central Asia (excluding high income)","ECA",2018,73.590781529875
"Europe & Central Asia (IDA & IBRD countries)","TEC",2018,74.0376029005072
"European Union","EUU",2018,81.0344092172663
"Faroe Islands","FRO",2018,82.5487804878049
"Fiji","FJI",2018,67.341
"Finland","FIN",2018,81.7341463414634
"Fragile and conflict affected situations","FCS",2018,61.4950123289385
"France","FRA",2018,82.7243902439024
"French Polynesia","PYF",2018,77.462
"Gabon","GAB",2018,66.187
"Gambia, The","GMB",2018,61.735
"Georgia","GEO",2018,73.6
"Germany","DEU",2018,80.8926829268293
"Ghana","GHA",2018,63.78
"Greece","GRC",2018,81.7878048780488
"Greenland","GRL",2016,70.8487804878049
"Grenada","GRD",2018,72.384
"Guam","GUM",2018,79.859
"Guatemala","GTM",2018,74.063
"Guinea","GIN",2018,61.185
"Guinea-Bissau","GNB",2018,58.003
"Guyana","GUY",2018,69.774
"Haiti","HTI",2018,63.66
"Heavily indebted poor countries (HIPC)","HPC",2018,63.1350064011699
"High income","HIC",2018,80.6561046818993
"Honduras","HND",2018,75.088
"Hong Kong SAR, China","HKG",2018,84.9341463414634
"Hungary","HUN",2018,76.0658536585366
"IBRD only","IBD",2018,73.4048671354175
"Iceland","ISL",2018,82.8609756097561
"IDA & IBRD total","IBT",2018,71.0717263914643
"IDA blend","IDB",2018,62.1617501399529
"IDA only","IDX",2018,65.3040915219653
"IDA total","IDA",2018,64.2478004723441
"India","IND",2018,69.416
"Indonesia","IDN",2018,71.509
"Iran, Islamic Rep.","IRN",2018,76.479
"Iraq","IRQ",2018,70.454
"Ireland","IRL",2018,82.2560975609756
"Isle of Man","IMN",NA,NA
"Israel","ISR",2018,82.8024390243903
"Italy","ITA",2018,83.3463414634146
"Jamaica","JAM",2018,74.368
"Japan","JPN",2018,84.2109756097561
"Jordan","JOR",2018,74.405
"Kazakhstan","KAZ",2018,73.15
"Kenya","KEN",2018,66.342
"Kiribati","KIR",2018,68.116
"Korea, Dem. People’s Rep.","PRK",2018,72.095
"Korea, Rep.","KOR",2018,82.6268292682927
"Kosovo","XKX",2018,72.1951219512195
"Kuwait","KWT",2018,75.398
"Kyrgyz Republic","KGZ",2018,71.4
"Lao PDR","LAO",2018,67.61
"Late-demographic dividend","LTE",2018,76.2244388960199
"Latin America & Caribbean","LCN",2018,75.4409154860844
"Latin America & Caribbean (excluding high income)","LAC",2018,75.2460761223907
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",2018,75.3573807779103
"Latvia","LVA",2018,74.7829268292683
"Least developed countries: UN classification","LDC",2018,65.0396241212957
"Lebanon","LBN",2018,78.875
"Lesotho","LSO",2018,53.705
"Liberia","LBR",2018,63.73
"Libya","LBY",2018,72.724
"Liechtenstein","LIE",2018,83.0414634146342
"Lithuania","LTU",2018,75.6804878048781
"Low & middle income","LMY",2018,70.9988075945446
"Low income","LIC",2018,63.4963387504082
"Lower middle income","LMC",2018,68.4224690868156
"Luxembourg","LUX",2018,82.2951219512195
"Macao SAR, China","MAC",2018,84.118
"Madagascar","MDG",2018,66.681
"Malawi","MWI",2018,63.798
"Malaysia","MYS",2018,75.997
"Maldives","MDV",2018,78.627
"Mali","MLI",2018,58.893
"Malta","MLT",2018,82.4487804878049
"Marshall Islands","MHL",NA,NA
"Mauritania","MRT",2018,64.704
"Mauritius","MUS",2018,74.4163414634146
"Mexico","MEX",2018,74.992
"Micronesia, Fed. Sts.","FSM",2018,67.755
"Middle East & North Africa","MEA",2018,74.0889092566827
"Middle East & North Africa (excluding high income)","MNA",2018,73.5873582148883
"Middle East & North Africa (IDA & IBRD countries)","TMN",2018,73.5836428053412
"Middle income","MIC",2018,71.8546143977488
"Moldova","MDA",2018,71.808
"Mongolia","MNG",2018,69.689
"Montenegro","MNE",2018,76.77
"Morocco","MAR",2018,76.453
"Mozambique","MOZ",2018,60.163
"Myanmar","MMR",2018,66.867
"Namibia","NAM",2018,63.373
"Nepal","NPL",2018,70.478
"Netherlands","NLD",2018,81.8121951219512
"New Caledonia","NCL",2018,77.1487804878049
"New Zealand","NZL",2018,81.8585365853659
"Nicaragua","NIC",2018,74.275
"Niger","NER",2018,62.024
"Nigeria","NGA",2018,54.332
"North America","NAC",2018,78.8868905457275
"North Macedonia","MKD",2018,75.688
"Norway","NOR",2018,82.7585365853659
"OECD members","OED",2018,80.0775567357356
"Oman","OMN",2018,77.633
