"country","countryiso3","latest.year_migrationrate.2112","latest.value_migrationrate.2112"
"Afghanistan","AFG",2020,-0.9
"Albania","ALB",2020,-3.3
"Algeria","DZA",2020,-0.9
"American Samoa","ASM",2020,-26.7
"Andorra","AND",2020,0
"Angola","AGO",2020,0.2
"Anguilla","AIA",2020,11.7
"Antigua and Barbuda","ATG",2020,2.2
"Argentina","ARG",2020,-0.1
"Armenia","ARM",2020,-5.7
"Aruba","ABW",2020,8.7
"Australia","AUS",2020,5.5
"Austria","AUT",2020,4.8
"Azerbaijan","AZE",2020,0
"Bahamas, The","BHS",2020,0
"Bahrain","BHR",2020,12.1
"Bangladesh","BGD",2020,-3.1
"Barbados","BRB",2020,-0.3
"Belarus","BLR",2020,0.7
"Belgium","BEL",2020,5.4
"Belize","BLZ",2020,0
"Benin","BEN",2020,0
"Bermuda","BMU",2020,1.8
"Bhutan","BTN",2020,0
"Bolivia","BOL",2020,-0.5
"Bosnia and Herzegovina","BIH",2020,-0.4
"Botswana","BWA",2020,3
"Brazil","BRA",2020,-0.1
"British Virgin Islands","VGB",2020,16.5
"Brunei","BRN",2020,2.4
"Bulgaria","BGR",2020,-0.3
"Burkina Faso","BFA",2020,0
"Burma","MMR",2020,-1.5
"Burundi","BDI",2020,0
"Cabo Verde","CPV",2020,-0.6
"Cambodia","KHM",2020,-0.3
"Cameroon","CMR",2020,-0.1
"Canada","CAN",2020,5.7
"Cayman Islands","CYM",2020,13.8
"Central African Republic","CAF",2020,0
"Chad","TCD",2020,-3.2
"Chile","CHL",2020,0.3
"China","CHN",2020,-0.4
"Colombia","COL",2020,-0.6
"Comoros","COM",2020,-2.4
"Congo, Democratic Republic of the","COD",2020,-0.2
"Congo, Republic of the","COG",2020,-3.8
"Costa Rica","CRI",2020,0.8
"Cote d'Ivoire","CIV",2020,0
"Croatia","HRV",2020,-1.7
"Cuba","CUB",2020,-4.9
"Curacao","CUW",2020,-1.3
"Cyprus","CYP",2020,8.7
"Czechia","CZE",2020,2.3
"Denmark","DNK",2020,2.1
"Djibouti","DJI",2020,5.7
"Dominica","DMA",2020,-5.4
"Dominican Republic","DOM",2020,-1.9
"Ecuador","ECU",2020,0
"Egypt","EGY",2020,-0.5
"El Salvador","SLV",2020,-8
"Equatorial Guinea","GNQ",2020,0
"Eritrea","ERI",2020,-13.9
"Estonia","EST",2020,-3.2
"Ethiopia","ETH",2020,-0.2
"Faroe Islands","FRO",2020,0
"Fiji","FJI",2020,-6.5
"Finland","FIN",2020,2.9
"France","FRA",2020,1.1
"French Polynesia","PYF",2020,-0.8
"Gabon","GAB",2020,-2
"Gambia, The","GMB",2020,-1.9
"Gaza Strip","PSE",2020,-5.1
"Georgia","GEO",2020,-1.6
"Germany","DEU",2020,1.5
"Ghana","GHA",2020,-1.8
"Gibraltar","GIB",2020,-3.3
"Greece","GRC",2020,2.3
"Greenland","GRL",2020,-6
"Grenada","GRD",2020,-2.9
"Guam","GUM",2020,-11.1
"Guatemala","GTM",2020,-1.9
"Guernsey","GGY",2020,2.2
"Guinea","GIN",2020,0
"Guinea-Bissau","GNB",2020,0
"Guyana","GUY",2020,-4.8
"Haiti","HTI",2020,-2
"Honduras","HND",2020,-1.1
"Hong Kong","HKG",2020,1.7
"Hungary","HUN",2020,1.3
"Iceland","ISL",2020,4
"India","IND",2020,0
"Indonesia","IDN",2020,-1.1
"Iran","IRN",2020,-0.2
"Iraq","IRQ",2020,-1.2
"Ireland","IRL",2020,4
"Isle of Man","IMN",2020,6
"Israel","ISR",2020,2.2
"Italy","ITA",2020,3.7
"Jamaica","JAM",2020,-4.3
"Japan","JPN",2020,0
"Jersey","JEY",2020,3.2
"Jordan","JOR",2020,0
"Kazakhstan","KAZ",2020,0.4
"Kenya","KEN",2020,-0.2
"Kiribati","KIR",2020,-2.9
"Korea, North","PRK",2020,0
"Korea, South","KOR",2020,2.5
"Kuwait","KWT",2020,-2.4
"Kyrgyzstan","KGZ",2020,-5.1
"Laos","LAO",2020,-1.1
"Latvia","LVA",2020,-6.1
"Lebanon","LBN",2020,-20.3
"Lesotho","LSO",2020,-6.8
"Liberia","LBR",2020,-5.7
"Libya","LBY",2020,1.9
"Liechtenstein","LIE",2020,5
"Lithuania","LTU",2020,-6.1
"Luxembourg","LUX",2020,15.5
"Macau","MAC",2020,3.3
"Madagascar","MDG",2020,0
"Malawi","MWI",2020,0
"Malaysia","MYS",2020,-0.3
"Maldives","MDV",2020,-12.7
"Mali","MLI",2020,-3.9
"Malta","MLT",2020,2
"Marshall Islands","MHL",2020,-4.7
"Mauritania","MRT",2020,-0.8
"Mauritius","MUS",2020,0
"Mexico","MEX",2020,-1.8
"Micronesia, Federated States of","FSM",2020,-20.9
"Moldova","MDA",2020,-9.4
"Monaco","MCO",2020,5.7
"Mongolia","MNG",2020,-0.8
"Montserrat","MSR",2020,0
"Morocco","MAR",2020,-3.2
"Mozambique","MOZ",2020,-1.9
"Namibia","NAM",2020,0
"Nauru","NRU",2020,-12.8
"Nepal","NPL",2020,-2.2
"Netherlands","NLD",2020,1.9
"New Caledonia","NCL",2020,3.9
"New Zealand","NZL",2020,2.2
"Nicaragua","NIC",2020,-2.7
"Niger","NER",2020,-0.5
"Nigeria","NGA",2020,-0.2
"Northern Mariana Islands","MNP",2020,-15.2
"Norway","NOR",2020,5.9
"Oman","OMN",2020,-0.4
"Pakistan","PAK",2020,-1.3
"Palau","PLW",2020,0.8
"Panama","PAN",2020,-0.2
"Papua New Guinea","PNG",2020,0
"Paraguay","PRY",2020,-0.1
"Peru","PER",2020,-2.2
"Philippines","PHL",2020,-2
"Poland","POL",2020,-0.4
"Portugal","PRT",2020,2.5
"Puerto Rico","PRI",2020,-16.9
"Qatar","QAT",2020,14.6
"Romania","ROU",2020,-0.2
"Russia","RUS",2020,1.7
"Rwanda","RWA",2020,0.2
"Saint Helena, Ascension, and Tristan da Cunha","SHN",2020,0
"Saint Kitts and Nevis","KNA",2020,1.2
"Saint Lucia","LCA",2020,-2.5
"Saint Pierre and Miquelon","SPM",2020,-8
"Saint Vincent and the Grenadines","VCT",2020,-8.4
"Samoa","WSM",2020,-9.1
"San Marino","SMR",2020,7.5
"Sao Tome and Principe","STP",2020,-8.3
"Saudi Arabia","SAU",2020,-0.5
"Senegal","SEN",2020,-1.5
"Serbia","SRB",2020,0
"Seychelles","SYC",2020,1
"Sierra Leone","SLE",2020,-2.1
"Singapore","SGP",2020,13.1
"Sint Maarten","SXM",2020,6.3
"Slovakia","SVK",2020,0.1
"Slovenia","SVN",2020,0.4
"Solomon Islands","SLB",2020,-1.7
"Somalia","SOM",2020,-6.5
"South Africa","ZAF",2020,-0.9
"South Sudan","SSD",2020,10.6
"Spain","ESP",2020,7.8
"Sri Lanka","LKA",2020,-1.3
"Sudan","SDN",2020,-4.1
"Suriname","SUR",2020,0.6
"Sweden","SWE",2020,5.3
"Switzerland","CHE",2020,4.7
"Taiwan","TWN",2020,0.9
"Tajikistan","TJK",2020,-1.1
"Tanzania","TZA",2020,-0.5
"Thailand","THA",2020,0
"Timor-Leste","TLS",2020,-3.9
"Togo","TGO",2020,0
"Tonga","TON",2020,-17.8
"Trinidad and Tobago","TTO",2020,-5.9
"Tunisia","TUN",2020,-1.7
"Turkey","TUR",2020,-4.5
"Turkmenistan","TKM",2020,-1.8
"Turks and Caicos Islands","TCA",2020,9.5
"Tuvalu","TUV",2020,-6.7
"Uganda","UGA",2020,-0.7
"Ukraine","UKR",2020,0
"United Arab Emirates","ARE",2020,10.5
"United Kingdom","GBR",2020,2.5
"United States","USA",2020,3.9
"Uruguay","URY",2020,-0.9
"Uzbekistan","UZB",2020,-2.2
"Vanuatu","VUT",2020,-1.4
"Venezuela","VEN",2020,-1.2
"Vietnam","VNM",2020,-0.3
"Virgin Islands","VIR",2020,-7.5
"Wallis and Futuna","WLF",2020,-4.7
"West Bank","PSE",2020,-4.5
"Yemen","YEM",2020,0.4
"Zambia","ZMB",2020,0
"Zimbabwe","ZWE",2020,-8.5
